file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,285,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,19
style.css,286,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,53
style.css,287,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,16
style.css,288,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,289,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,15
style.css,290,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,13
style.css,291,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,14
style.css,292,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,20
style.css,293,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,38
style.css,294,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,295,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,14
style.css,296,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,16
style.css,297,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,16
style.css,298,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,20
style.css,299,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,19
style.css,300,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,34
style.css,301,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,22
style.css,302,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,14
style.css,303,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,304,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,31
style.css,305,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,37
style.css,306,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,18
style.css,307,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,308,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,309,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,25
style.css,310,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,34
style.css,311,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,312,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,313,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,20
style.css,314,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,1,25
style.css,315,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
style.css,316,css,c047562c,balatechnet,2025-10-30,23:54:19,-07:00,2025-10-30T23:54:19-07:00,0,0
